Customer ID,Campaign,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2,Status
389-542-8764,Search_Urgence-Reparation_Ardeche,Fuite toiture,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Urgence-Reparation_Ardeche,Urgence couvreur,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Urgence-Reparation_Ardeche,Tempete,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Entretien-Toiture_Ardeche,Demoussage,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Entretien-Toiture_Ardeche,Hydrofuge tuile,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Entretien-Toiture_Ardeche,Gouttiere,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Gros-Chantiers_Ardeche,Renovation toiture,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Gros-Chantiers_Ardeche,Etancheite,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Marque_Ardeche,Marque,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Urgence-Reparation_Ardeche,Fuite toiture,4.00,reparation fuite toiture,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Urgence-Reparation_Ardeche,Fuite toiture,4.00,fuite toiture,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Urgence-Reparation_Ardeche,Fuite toiture,4.00,fuite toit,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
389-542-8764,Search_Urgence-Reparation_Ardeche,Fuite toiture,4.00,recherche de fuite toiture,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
